id,Danceability
17170,4.0
17171,5.0
17172,3.0
17173,5.0
17174,4.0
17175,5.0
17176,3.0
17177,2.0
17178,4.0
17179,2.0
17180,6.0
17181,6.0
17182,6.0
17183,5.0
17184,4.0
17185,3.0
17186,5.0
17187,2.0
17188,4.0
17189,5.0
17190,8.0
17191,5.0
17192,7.0
17193,7.0
17194,4.0
17195,7.0
17196,5.0
17197,6.0
17198,9.0
17199,4.0
17200,4.0
17201,4.0
17202,2.0
17203,3.0
17204,5.0
17205,4.0
17206,6.0
17207,2.0
17208,3.0
17209,4.0
17210,7.0
17211,6.0
17212,2.0
17213,8.0
17214,5.0
17215,6.0
17216,6.0
17217,5.0
17218,6.0
17219,5.0
17220,6.0
17221,2.0
17222,5.0
17223,6.0
17224,4.0
17225,2.0
17226,4.0
17227,4.0
17228,3.0
17229,2.0
17230,4.0
17231,4.0
17232,4.0
17233,5.0
17234,3.0
17235,5.0
17236,3.0
17237,3.0
17238,1.0
17239,3.0
17240,1.0
17241,1.0
17242,1.0
17243,4.0
17244,3.0
17245,4.0
17246,4.0
17247,7.0
17248,3.0
17249,5.0
17250,2.0
17251,3.0
17252,5.0
17253,4.0
17254,5.0
17255,7.0
17256,5.0
17257,5.0
17258,4.0
17259,3.0
17260,5.0
17261,5.0
17262,5.0
17263,8.0
17264,5.0
17265,6.0
17266,3.0
17267,5.0
17268,6.0
17269,6.0
17270,5.0
17271,7.0
17272,5.0
17273,6.0
17274,6.0
17275,5.0
17276,7.0
17277,4.0
17278,5.0
17279,4.0
17280,3.0
17281,5.0
17282,1.0
17283,9.0
17284,9.0
17285,7.0
17286,3.0
17287,3.0
17288,6.0
17289,5.0
17290,7.0
17291,5.0
17292,7.0
17293,4.0
17294,7.0
17295,7.0
17296,5.0
17297,3.0
17298,6.0
17299,7.0
17300,7.0
17301,7.0
17302,6.0
17303,2.0
17304,7.0
17305,5.0
17306,6.0
17307,4.0
17308,3.0
17309,7.0
17310,6.0
17311,6.0
17312,5.0
17313,6.0
17314,6.0
17315,8.0
17316,5.0
17317,6.0
17318,4.0
17319,4.0
17320,7.0
17321,5.0
17322,4.0
17323,5.0
17324,4.0
17325,4.0
17326,5.0
17327,3.0
17328,3.0
17329,5.0
17330,4.0
17331,7.0
17332,5.0
17333,5.0
17334,4.0
17335,3.0
17336,7.0
17337,6.0
17338,6.0
17339,5.0
17340,6.0
17341,6.0
17342,5.0
17343,2.0
17344,2.0
17345,2.0
17346,4.0
17347,5.0
17348,5.0
17349,3.0
17350,6.0
17351,5.0
17352,5.0
17353,5.0
17354,6.0
17355,4.0
17356,7.0
17357,6.0
17358,5.0
17359,7.0
17360,6.0
17361,6.0
17362,7.0
17363,6.0
17364,6.0
17365,7.0
17366,5.0
17367,7.0
17368,7.0
17369,7.0
17370,8.0
17371,7.0
17372,5.0
17373,4.0
17374,4.0
17375,6.0
17376,5.0
17377,0.0
17378,4.0
17379,6.0
17380,3.0
17381,6.0
17382,7.0
17383,6.0
17384,9.0
17385,5.0
17386,7.0
17387,6.0
17388,6.0
17389,5.0
17390,6.0
17391,5.0
17392,8.0
17393,5.0
17394,5.0
17395,5.0
17396,7.0
17397,6.0
17398,5.0
17399,5.0
17400,4.0
17401,2.0
17402,4.0
17403,4.0
17404,6.0
17405,6.0
17406,4.0
17407,5.0
17408,3.0
17409,6.0
17410,2.0
17411,7.0
17412,5.0
17413,7.0
17414,6.0
17415,4.0
17416,5.0
17417,7.0
17418,6.0
17419,8.0
17420,3.0
17421,8.0
17422,3.0
17423,1.0
17424,6.0
17425,7.0
