id,Danceability
17170,4
17171,3
17172,2
17173,5
17174,5
17175,3
17176,4
17177,3
17178,3
17179,6
17180,6
17181,5
17182,5
17183,5
17184,4
17185,3
17186,4
17187,3
17188,4
17189,6
17190,7
17191,3
17192,7
17193,7
17194,4
17195,7
17196,6
17197,6
17198,9
17199,6
17200,6
17201,5
17202,3
17203,5
17204,5
17205,5
17206,6
17207,3
17208,4
17209,3
17210,6
17211,5
17212,3
17213,6
17214,5
17215,5
17216,5
17217,4
17218,4
17219,5
17220,5
17221,3
17222,5
17223,6
17224,5
17225,3
17226,3
17227,4
17228,3
17229,2
17230,5
17231,4
17232,4
17233,4
17234,3
17235,5
17236,3
17237,3
17238,3
17239,3
17240,2
17241,4
17242,2
17243,5
17244,4
17245,5
17246,4
17247,7
17248,5
17249,5
17250,3
17251,3
17252,6
17253,4
17254,5
17255,7
17256,5
17257,4
17258,5
17259,3
17260,5
17261,4
17262,5
17263,5
17264,7
17265,4
17266,3
17267,4
17268,5
17269,5
17270,5
17271,6
17272,3
17273,6
17274,5
17275,4
17276,6
17277,4
17278,5
17279,5
17280,4
17281,5
17282,3
17283,8
17284,7
17285,5
17286,4
17287,5
17288,7
17289,5
17290,6
17291,6
17292,8
17293,6
17294,6
17295,7
17296,4
17297,4
17298,5
17299,7
17300,7
17301,7
17302,4
17303,4
17304,6
17305,6
17306,6
17307,5
17308,3
17309,8
17310,5
17311,5
17312,6
17313,5
17314,5
17315,9
17316,5
17317,6
17318,5
17319,5
17320,6
17321,5
17322,4
17323,5
17324,5
17325,5
17326,5
17327,3
17328,5
17329,5
17330,3
17331,7
17332,6
17333,5
17334,5
17335,5
17336,6
17337,7
17338,5
17339,4
17340,5
17341,5
17342,4
17343,3
17344,4
17345,3
17346,2
17347,4
17348,4
17349,3
17350,5
17351,4
17352,6
17353,5
17354,6
17355,4
17356,7
17357,5
17358,5
17359,5
17360,5
17361,5
17362,7
17363,5
17364,5
17365,7
17366,5
17367,7
17368,6
17369,5
17370,7
17371,5
17372,4
17373,5
17374,4
17375,5
17376,4
17377,2
17378,5
17379,6
17380,4
17381,6
17382,7
17383,5
17384,8
17385,5
17386,7
17387,7
17388,5
17389,5
17390,5
17391,4
17392,7
17393,6
17394,6
17395,4
17396,6
17397,7
17398,6
17399,4
17400,5
17401,4
17402,5
17403,4
17404,6
17405,6
17406,5
17407,5
17408,5
17409,5
17410,4
17411,5
17412,4
17413,5
17414,6
17415,4
17416,5
17417,7
17418,5
17419,6
17420,4
17421,7
17422,4
17423,2
17424,5
17425,6
17426,2
17427,2
17428,3
17429,3
17430,4
17431,5
17432,4
17433,3
17434,5
17435,5
17436,2
17437,2
17438,5
17439,3
17440,4
17441,4
17442,4
17443,2
17444,5
17445,4
17446,3
17447,4
17448,3
17449,3
17450,5
17451,5
17452,5
17453,6
17454,6
17455,4
17456,6
17457,4
17458,7
17459,6
17460,5
17461,5
17462,5
17463,3
17464,3
17465,4
17466,4
17467,3
17468,5
17469,5
17470,5
17471,5
17472,5
17473,4
17474,3
17475,3
17476,6
17477,5
17478,6
17479,6
17480,5
17481,6
17482,5
17483,5
17484,5
17485,7
17486,8
17487,5
17488,7
17489,5
17490,6
17491,5
17492,6
17493,6
17494,4
17495,5
17496,9
17497,5
17498,6
17499,5
17500,4
17501,4
17502,4
17503,3
17504,3
17505,4
17506,4
17507,4
17508,5
17509,4
17510,6
17511,4
17512,4
17513,4
17514,4
17515,5
17516,5
17517,4
17518,6
17519,3
17520,3
17521,6
17522,7
17523,7
17524,5
17525,5
17526,7
17527,6
17528,5
17529,5
17530,5
17531,5
17532,6
17533,7
17534,5
17535,4
17536,5
17537,7
17538,5
17539,5
17540,5
17541,6
17542,5
17543,4
17544,3
17545,6
17546,4
17547,5
17548,5
17549,3
17550,4
